,Fahrtnummer,Fahrzeugnummer,Buchungskreis,Abfahrtsdatum,Messung,Zug id,Abfahrtszeit,Ankunftszeit,Entfernung km,Passagieranzahl,Abfahrtsbahnhof,Ankunftsbahnhof,grund
25050,9497943621.0,17.0,XXXX,2020-04-25,3859.35,9497943621,2024-06-07 06:53:45,2024-06-07 08:32:45,511,108,Hernandezside,East Haley,Duplicate
25051,4605071238.0,1.0,1004,2020-06-22,1030.76,4605071238,2024-05-27 18:02:46,2024-05-27 20:36:46,647,79,Torresburgh,Veronicaland,Duplicate
25052,2521650420.0,1.0,1008,2021-12-16,3675.07,2521650420,2024-06-03 23:33:56,2024-06-04 04:21:56,766,419,South Samuel,Lake Frank,Duplicate
25053,7837987975.0,9.0,1007,2021-01-01,4829.46,7837987975,2024-06-13 06:26:48,2024-06-13 07:32:48,775,215,New Garybury,Angelachester,Duplicate
25054,5842524734.0,7.0,1008,2023-10-31,3386.09,5842524734,2024-06-13 04:16:06,2024-06-13 07:32:06,492,54,New Justinfurt,Hannaborough,Duplicate
25055,1375345787.0,1.0,1007,2020-09-18,667.58,1375345787,2024-05-28 15:54:42,2024-05-28 17:23:42,925,308,East Calvinbury,Richardberg,Duplicate
25056,49504161.0,5.0,1003,2022-05-18,4219.67,0049504161,2024-06-23 17:35:51,2024-06-23 22:15:51,702,261,Farleyview,East Ashley,Duplicate
25057,2298664504.0,1.0,1007,2022-11-22,2110.44,2298664504,2024-06-14 01:24:24,2024-06-14 04:17:24,60,345,Michaelbury,South Brian,Duplicate
25058,9780779463.0,12.0,1006,2021-05-29,928.03,9780779463,2024-06-13 03:55:04,2024-06-13 07:38:04,800,84,Silvachester,Port Juliechester,Duplicate
25059,9472407021.0,4.0,1005,2020-04-10,3661.11,9472407021,2024-05-30 14:57:42,2024-05-30 16:08:42,428,499,Cervantesberg,Lake Johnhaven,Duplicate
25060,8783371422.0,7.0,1000,2023-04-24,2487.46,8783371422,2024-06-01 18:01:56,2024-06-01 22:02:56,271,251,South David,Huntland,Duplicate
25062,4117042930.0,6.0,1003,2022-05-07,2310.7,4117042930,2024-06-01 10:27:09,2024-06-01 14:37:09,259,168,New Toddfort,North Melissa,Duplicate
25063,3862618122.0,4.0,1000,2024-03-12,1633.43,3862618122,2024-06-18 18:49:13,2024-06-18 21:17:13,897,271,Larsonmouth,Derekville,Duplicate
25064,2144893589.0,11.0,1004,2020-02-14,4361.45,2144893589,2024-06-19 09:01:57,2024-06-19 10:37:57,140,108,Lisafurt,Port Jenniferburgh,Duplicate
25065,5749394636.0,7.0,1006,2020-12-10,1955.07,5749394636,2024-06-08 04:51:08,2024-06-08 08:07:08,590,424,East Destiny,North Cindy,Duplicate
25066,73845463.0,1.0,1007,2021-08-18,3515.77,0073845463,2024-06-02 18:10:10,2024-06-02 22:35:10,853,130,Olsonfurt,Jonesberg,Duplicate
25067,4486155570.0,16.0,XXXX,2022-06-09,4054.83,4486155570,2024-06-17 12:35:34,2024-06-17 14:14:34,385,489,West Rebecca,West Joseph,Duplicate
25068,2417599410.0,15.0,1007,2024-06-10,2202.48,2417599410,2024-06-14 04:49:25,2024-06-14 09:00:25,209,356,Maysberg,New Antonio,Duplicate
25069,1975710886.0,3.0,1004,2021-05-18,997.17,1975710886,2024-05-29 19:35:07,2024-05-29 21:33:07,209,254,New Julie,Fullerbury,Duplicate
25070,7153564777.0,18.0,1006,2023-01-15,3979.93,7153564777,2024-06-22 10:14:14,2024-06-22 14:55:14,187,176,Loweryton,West Phillipborough,Duplicate
25071,3082112336.0,6.0,1003,2020-07-25,1452.55,3082112336,2024-06-01 03:23:22,2024-06-01 07:45:22,223,385,Norrisfurt,South Theresa,Duplicate
25072,3946029249.0,5.0,1000,2021-06-24,4312.23,3946029249,2024-05-29 11:05:18,2024-05-29 14:49:18,303,309,Lisafort,Monicahaven,Duplicate
25073,29596717.0,6.0,1000,2022-09-10,2060.33,0029596717,2024-06-09 00:17:00,2024-06-09 03:00:00,688,467,North Steve,Amandafort,Duplicate
25074,7937698187.0,6.0,XXXX,2020-12-01,1011.26,7937698187,2024-06-08 13:11:43,2024-06-08 15:40:43,857,297,Christophermouth,Port Nataliebury,Duplicate
25075,4487371989.0,8.0,1002,2022-12-28,4499.15,4487371989,2024-06-16 12:26:09,2024-06-16 16:13:09,456,389,Jessicatown,West Victoria,Duplicate
25076,2806441461.0,17.0,1000,2022-12-23,3416.6,2806441461,2024-06-07 19:08:29,2024-06-07 23:58:29,800,385,Port Valeriechester,Hallmouth,Duplicate
25077,9529663654.0,18.0,1008,2022-12-03,1509.66,9529663654,2024-06-01 03:33:56,2024-06-01 04:37:56,787,71,South Susan,Lake Kimberlyport,Duplicate
25078,5664225208.0,5.0,1003,2023-07-09,4113.51,5664225208,2024-06-25 19:41:32,2024-06-25 22:47:32,846,277,New Chelsea,New Pamela,Duplicate
25079,2372410993.0,12.0,1008,2023-10-27,1471.09,2372410993,2024-06-15 08:32:28,2024-06-15 11:30:28,698,484,Juanmouth,Barreraville,Duplicate
25080,939272042.0,7.0,1000,2020-06-15,1602.34,0939272042,2024-06-20 11:10:28,2024-06-20 15:14:28,942,51,New Stevenstad,Smithshire,Duplicate
25081,5645426058.0,2.0,1006,2021-01-06,2188.42,5645426058,2024-06-01 19:26:50,2024-06-01 20:04:50,160,495,North Autumn,East Joshuachester,Duplicate
25082,5295365564.0,3.0,1003,2021-08-30,1564.81,5295365564,2024-06-22 16:59:54,2024-06-22 18:43:54,590,82,Aguilarshire,South Heatherburgh,Duplicate
25083,9230200613.0,15.0,1000,2020-09-04,3551.23,9230200613,2024-06-17 10:59:42,2024-06-17 13:23:42,367,416,East Randall,East Catherine,Duplicate
25084,5278618121.0,15.0,1008,2020-11-22,2555.6,5278618121,2024-06-21 22:19:48,2024-06-22 00:19:48,274,267,Fernandoport,West Susan,Duplicate
25085,6175710553.0,1.0,1003,2020-01-04,767.4,6175710553,2024-06-03 18:07:22,2024-06-03 18:37:22,87,256,New Cynthia,West Matthewton,Duplicate
25086,8851449407.0,4.0,1000,2020-07-25,3942.18,8851449407,2024-05-31 15:16:49,2024-05-31 17:11:49,100,221,Aaronview,Lewisport,Duplicate
25087,2639357392.0,15.0,1007,2022-07-29,720.64,2639357392,2024-06-11 08:23:17,2024-06-11 12:26:17,134,152,Lake Debraview,North Billy,Duplicate
25088,4653224538.0,15.0,1005,2022-11-11,1485.04,4653224538,2024-05-30 01:56:14,2024-05-30 02:54:14,953,76,Joshuamouth,Osborneborough,Duplicate
25090,9571913025.0,11.0,1000,2022-10-26,1277.39,9571913025,2024-06-08 09:03:48,2024-06-08 09:36:48,653,417,Aliciaton,Lake Danielland,Duplicate
25091,4795696492.0,2.0,1008,2022-03-12,2986.64,4795696492,2024-06-17 22:07:30,2024-06-18 01:02:30,181,180,Krystalland,Michaelhaven,Duplicate
25092,9435533799.0,6.0,1000,2020-02-01,1772.61,9435533799,2024-06-06 05:43:41,2024-06-06 09:11:41,157,373,Lake Danielle,North Nicoleburgh,Duplicate
25093,7626153077.0,5.0,1007,2020-03-18,4121.3,7626153077,2024-06-23 04:12:08,2024-06-23 07:23:08,604,325,Smithfort,Clarkmouth,Duplicate
25095,4079331200.0,4.0,XXXX,2021-08-25,3951.92,4079331200,2024-06-08 02:28:47,2024-06-08 05:04:47,662,173,Tiffanybury,East Steventown,Duplicate
25096,6143058807.0,17.0,1002,2022-01-24,1936.26,6143058807,2024-06-22 10:05:07,2024-06-22 10:46:07,691,286,Port Samuel,Moorehaven,Duplicate
25097,3044707365.0,6.0,1006,2021-03-19,3059.58,3044707365,2024-06-24 02:35:54,2024-06-24 04:39:54,484,151,West Erica,Michaelstad,Duplicate
25098,4707672907.0,9.0,1000,2023-07-17,1297.87,4707672907,2024-06-20 23:07:35,2024-06-21 03:40:35,994,101,Douglasport,Lake Jesus,Duplicate
25099,4555048487.0,5.0,1006,2020-10-24,3099.48,4555048487,2024-06-22 02:45:04,2024-06-22 07:36:04,966,85,Stephenmouth,Shawnville,Duplicate
25100,5798339596.0,7.0,1000,2021-10-28,1090.23,5798339596,2024-06-08 02:43:10,2024-06-08 05:24:10,927,214,Davidfurt,New Josephshire,Duplicate
25101,1571987601.0,10.0,1007,2021-10-22,2174.65,1571987601,2024-06-19 02:03:14,2024-06-19 03:10:14,150,139,Edwinfurt,Lake Ann,Duplicate
25102,2336794298.0,2.0,1006,2023-03-20,4904.55,2336794298,2024-06-10 06:50:08,2024-06-10 10:06:08,324,435,Lake Valerie,Wolfeport,Duplicate
25104,3339579587.0,11.0,1008,2021-02-09,2753.2,3339579587,2024-06-01 11:17:49,2024-06-01 14:27:49,443,405,Lake Ronald,East Angelaville,Duplicate
25105,2765441613.0,5.0,1006,2020-06-09,4961.95,2765441613,2024-06-11 19:45:58,2024-06-11 20:54:58,475,263,Simpsonburgh,Shellyborough,Duplicate
25106,9456641255.0,4.0,1001,2024-04-18,2498.98,9456641255,2024-06-02 22:03:31,2024-06-02 22:46:31,852,137,New Emilystad,West Lindabury,Duplicate
25107,7191305611.0,1.0,1006,2021-12-22,4196.74,7191305611,2024-06-25 21:44:05,2024-06-26 01:09:05,331,488,Cathyhaven,North Charles,Duplicate
25108,9482433536.0,7.0,1005,2024-03-13,1345.27,9482433536,2024-06-15 19:06:24,2024-06-15 21:37:24,344,273,Dawsonland,New Joel,Duplicate
25109,120597804.0,10.0,1007,2021-08-06,2466.12,0120597804,2024-06-11 15:18:50,2024-06-11 17:33:50,543,498,Roberttown,Rodriguezshire,Duplicate
25110,1462998696.0,1.0,1000,2020-03-16,1803.32,1462998696,2024-06-01 17:39:54,2024-06-01 18:17:54,650,381,Amandabury,Youngfurt,Duplicate
25112,2137196419.0,15.0,1003,2021-05-31,1943.36,2137196419,2024-05-29 02:38:56,2024-05-29 03:27:56,753,348,Smithshire,Rachelborough,Duplicate
25113,9085384321.0,12.0,1002,2022-02-26,1096.79,9085384321,2024-06-17 09:12:27,2024-06-17 10:05:27,514,77,South Rachel,South Erikamouth,Duplicate
25114,2559640703.0,4.0,XXXX,2021-06-20,1013.16,2559640703,2024-06-18 19:55:39,2024-06-18 22:37:39,499,374,West Benjaminberg,Camachofort,Duplicate
25115,8275918754.0,5.0,1009,2020-09-07,4373.62,8275918754,2024-06-08 09:55:05,2024-06-08 14:13:05,183,160,Harrisonland,Karenchester,Duplicate
25116,4993827045.0,5.0,1001,2024-02-23,767.48,4993827045,2024-06-02 07:11:31,2024-06-02 10:10:31,162,298,New Tina,Port Jaimehaven,Duplicate
25117,7942805615.0,16.0,1006,2023-09-29,3444.82,7942805615,2024-06-01 05:55:41,2024-06-01 09:28:41,995,120,New Lindamouth,West Josephhaven,Duplicate
25118,9465448164.0,3.0,1001,2021-11-15,1185.95,9465448164,2024-06-21 17:00:45,2024-06-21 19:42:45,758,328,South Rachelmouth,Cherylville,Duplicate
25119,2132006537.0,1.0,1002,2020-11-12,3941.82,2132006537,2024-06-18 11:28:13,2024-06-18 12:46:13,907,349,Ronaldbury,Latashamouth,Duplicate
25120,774821328.0,14.0,1003,2021-05-05,3125.58,0774821328,2024-06-15 20:20:42,2024-06-15 23:50:42,87,194,East Scottside,East Patriciaport,Duplicate
25121,422639267.0,6.0,1004,2022-01-18,2760.03,0422639267,2024-06-09 04:22:53,2024-06-09 07:51:53,329,323,Jocelynfort,Parrishside,Duplicate
25122,9556421270.0,4.0,1000,2022-08-25,4255.27,9556421270,2024-06-13 20:03:14,2024-06-13 22:50:14,893,249,West Nancy,Stoutfurt,Duplicate
25123,6475095669.0,9.0,1001,2022-09-12,2650.19,6475095669,2024-05-27 02:32:22,2024-05-27 05:05:22,863,119,Burnshaven,West Jonathanfort,Duplicate
25124,6802899960.0,8.0,XXXX,2021-03-24,3284.3,6802899960,2024-06-18 17:11:34,2024-06-18 20:25:34,968,114,Scottton,Guerreroshire,Duplicate
25125,3041826626.0,7.0,1002,2023-09-22,3200.11,3041826626,2024-06-18 15:55:32,2024-06-18 19:24:32,100,412,South Pedro,Ericaland,Duplicate
25126,9539485988.0,9.0,XXXX,2022-06-17,547.8,9539485988,2024-05-29 14:53:31,2024-05-29 16:49:31,314,241,Lake David,South Davidstad,Duplicate
25127,8527547133.0,4.0,1009,2023-07-28,573.14,8527547133,2024-06-10 08:01:03,2024-06-10 11:51:03,316,329,North Adriennemouth,South Toddview,Duplicate
25129,6302095337.0,8.0,1000,2023-03-05,4826.58,6302095337,2024-06-17 11:22:57,2024-06-17 13:45:57,671,182,Andrewmouth,Allenhaven,Duplicate
25130,8113171063.0,1.0,1000,2020-01-24,1118.26,8113171063,2024-06-09 14:45:17,2024-06-09 19:06:17,464,125,West Brittany,West Annmouth,Duplicate
25131,4692853124.0,1.0,1007,2021-08-22,1775.49,4692853124,2024-06-05 00:56:48,2024-06-05 05:23:48,647,347,West Katherineton,Shawside,Duplicate
25132,4196911150.0,3.0,1005,2020-08-03,4055.82,4196911150,2024-06-11 17:22:46,2024-06-11 21:22:46,368,193,West Christopherfurt,Thomasberg,Duplicate
25133,3684374222.0,10.0,1004,2024-05-15,3757.41,3684374222,2024-05-27 00:41:00,2024-05-27 02:44:00,444,91,West Davidmouth,West Timothy,Duplicate
25134,3314310581.0,4.0,1007,2021-06-20,4562.72,3314310581,2024-06-20 14:13:04,2024-06-20 18:32:04,902,84,Lake Williamfurt,Christopherfort,Duplicate
25135,5511826239.0,16.0,1005,2023-02-06,1851.77,5511826239,2024-06-13 12:01:19,2024-06-13 16:48:19,275,128,Yvettestad,East Anita,Duplicate
25136,6104894338.0,9.0,1004,2023-05-12,1648.81,6104894338,2024-06-13 05:43:06,2024-06-13 09:27:06,311,261,South Maryburgh,Aprilton,Duplicate
25137,203595465.0,5.0,XXXX,2020-05-14,4390.95,0203595465,2024-06-05 04:26:18,2024-06-05 07:08:18,688,230,South Jessicaville,New Gabriellaside,Duplicate
25138,2526568984.0,1.0,1009,2022-04-04,4958.07,2526568984,2024-06-10 17:23:13,2024-06-10 21:09:13,721,158,Anthonymouth,North Cameronton,Duplicate
25140,8865163724.0,2.0,XXXX,2020-10-23,4824.06,8865163724,2024-06-01 23:24:41,2024-06-02 01:38:41,85,261,Cynthiaport,North Isaiah,Duplicate
25141,7540606966.0,5.0,XXXX,2020-08-05,4356.85,7540606966,2024-06-05 19:59:52,2024-06-05 22:54:52,411,260,New Jennifer,Millerborough,Duplicate
25142,7707974613.0,14.0,1009,2023-04-22,3030.66,7707974613,2024-06-08 04:08:38,2024-06-08 07:24:38,641,138,Zhangton,West James,Duplicate
25143,4205590945.0,7.0,1005,2023-09-26,4100.85,4205590945,2024-06-10 06:04:50,2024-06-10 06:37:50,534,304,South Annburgh,North Elizabeth,Duplicate
25144,9546515391.0,15.0,1004,2021-08-09,2567.73,9546515391,2024-06-02 07:27:10,2024-06-02 11:19:10,54,113,East Joel,South Gary,Duplicate
25145,5337177683.0,11.0,1004,2022-02-10,1363.87,5337177683,2024-06-08 15:29:12,2024-06-08 18:21:12,640,344,Lake Melissafort,Carpenterborough,Duplicate
25146,2689453800.0,16.0,1006,2024-03-28,1875.46,2689453800,2024-06-16 02:42:24,2024-06-16 03:24:24,689,301,Nelsonfort,Jonesville,Duplicate
25147,1134413466.0,7.0,1004,2022-07-20,4202.02,1134413466,2024-06-06 13:59:00,2024-06-06 15:59:00,626,91,East Ronaldberg,Porterport,Duplicate
25148,2497837968.0,7.0,1000,2021-11-16,1739.37,2497837968,2024-05-27 18:23:51,2024-05-27 19:59:51,76,293,Brandonland,North Lisa,Duplicate
25149,9690658808.0,2.0,1009,2020-01-24,914.85,9690658808,2024-06-04 20:51:24,2024-06-04 22:49:24,443,398,Flemingberg,South Kayla,Duplicate
25151,2755991281.0,6.0,1002,2022-08-01,2999.66,2755991281,2024-06-14 09:11:14,2024-06-14 11:09:14,816,393,Port Spencer,North Lauraside,Duplicate
25152,8421555542.0,2.0,XXXX,2022-08-24,4618.63,8421555542,2024-06-06 04:02:14,2024-06-06 06:09:14,812,287,Linhaven,Vincenthaven,Duplicate
25154,3519662715.0,10.0,1004,2020-11-14,3705.19,3519662715,2024-06-06 22:07:59,2024-06-07 01:41:59,536,302,Nathanmouth,Ellisonton,Duplicate
25155,2360356336.0,4.0,1005,2021-01-10,4081.41,2360356336,2024-06-08 23:13:19,2024-06-09 03:37:19,97,138,East Elizabethborough,Thomasbury,Duplicate
25156,467651279.0,2.0,1005,2023-10-06,2119.07,0467651279,2024-05-30 02:38:17,2024-05-30 04:50:17,506,270,New Diane,Lake Bernard,Duplicate
25158,6653314051.0,6.0,XXXX,2022-03-08,3680.19,6653314051,2024-06-14 18:43:07,2024-06-14 19:33:07,365,293,West Jason,Cherylburgh,Duplicate
25159,9944008536.0,2.0,1001,2022-08-23,3461.6,9944008536,2024-06-15 12:36:48,2024-06-15 16:54:48,567,190,Amberchester,Tarachester,Duplicate
25160,5386898648.0,2.0,XXXX,2022-09-02,4943.29,5386898648,2024-06-02 04:59:00,2024-06-02 06:59:00,790,390,East Staceyport,Campbellhaven,Duplicate
25161,4152590631.0,4.0,XXXX,2024-01-01,3803.42,4152590631,2024-06-23 10:46:47,2024-06-23 15:10:47,397,90,South Sean,Jeremymouth,Duplicate
25162,8932915102.0,16.0,1008,2023-03-29,2967.79,8932915102,2024-06-02 07:42:37,2024-06-02 10:38:37,613,244,Lake Scottmouth,Warrenborough,Duplicate
25163,3229680172.0,7.0,XXXX,2022-09-06,1257.93,3229680172,2024-06-05 02:16:34,2024-06-05 04:06:34,454,87,East Karen,Lake Debbiemouth,Duplicate
25164,1363412902.0,14.0,1002,2021-01-02,2187.77,1363412902,2024-06-21 23:17:35,2024-06-22 04:14:35,579,324,Vargasfurt,New Caroline,Duplicate
25165,8018083810.0,4.0,1005,2020-07-12,4983.81,8018083810,2024-06-06 07:57:23,2024-06-06 09:40:23,771,254,Yorkfurt,Brittanyhaven,Duplicate
25166,3519662715.0,15.0,1004,2020-11-14,3017.83,3519662715,2024-06-06 22:07:59,2024-06-07 01:41:59,536,302,Nathanmouth,Ellisonton,Duplicate
25167,6301115836.0,2.0,XXXX,2020-02-24,4670.54,6301115836,2024-06-01 07:12:55,2024-06-01 08:29:55,633,231,Heatherburgh,South Jessica,Duplicate
25168,1880960402.0,4.0,1005,2021-04-12,1748.44,1880960402,2024-06-03 21:57:45,2024-06-04 01:22:45,60,353,Sandrahaven,Marioside,Duplicate
25169,9439583149.0,19.0,XXXX,2022-02-01,1010.19,9439583149,2024-05-29 21:10:04,2024-05-29 22:01:04,720,427,Stevenfurt,Port Lisafort,Duplicate
25170,625197088.0,3.0,1000,2022-07-12,4568.66,0625197088,2024-06-09 23:36:51,2024-06-10 01:05:51,980,399,Sarashire,Lauriefurt,Duplicate
25171,5694009695.0,11.0,1002,2022-04-24,1240.59,5694009695,2024-06-05 16:34:58,2024-06-05 21:09:58,406,427,North Catherine,New Derrick,Duplicate
25172,2121854119.0,11.0,1008,2021-12-15,4981.57,2121854119,2024-06-22 19:23:21,2024-06-23 00:23:21,162,352,Gonzalezton,South Melissachester,Duplicate
25173,9937464913.0,5.0,1009,2022-12-15,2409.04,9937464913,2024-06-10 01:53:44,2024-06-10 04:47:44,708,283,Gonzalezmouth,Ashleymouth,Duplicate
25174,2418049460.0,4.0,1003,2022-11-02,2666.15,2418049460,2024-05-31 16:36:17,2024-05-31 19:31:17,391,77,Lake Brandonville,Floresfurt,Duplicate
25175,3519662715.0,15.0,1004,2020-11-14,3017.83,3519662715,2024-06-06 22:07:59,2024-06-07 01:41:59,536,302,Nathanmouth,Ellisonton,Duplicate
25176,8746949726.0,6.0,XXXX,2020-07-27,3133.38,8746949726,2024-06-03 21:30:05,2024-06-03 23:51:05,155,51,South Evan,South Andrea,Duplicate
25177,3968912433.0,9.0,1008,2022-07-25,3603.28,3968912433,2024-06-19 01:18:04,2024-06-19 01:51:04,143,414,Cooperstad,East Ericborough,Duplicate
